volunteer_id,name,phone,email,city,lat,lng,skills,profile_text,availability,current_load,max_load,rating,completed_count
VOL001,Rajesh Patil,9131994523,rajesh21@gmail.com,Wardha,20.7318,78.58559,medical,medical support mental health counselling trauma care psychological first aid,True,2,2,4.4,2
VOL002,Neha Bhosale,9914763202,neha30@gmail.com,Akola,20.71572,77.00637,"food,education",teaching education mid day meal school feeding programme children nutrition,True,1,3,4.7,0
VOL003,Girish Gaikwad,9384027113,girish15@gmail.com,Panvel,18.96873,73.14493,"hygiene,disaster relief",sanitation waste management hygiene clean water drainage camp cleanliness,True,0,3,4.8,38
VOL004,Umesh Kale,9174684276,umesh15@gmail.com,Govandi,19.09019,72.91621,"food,education",teaching education mid day meal school feeding programme children nutrition,True,1,3,4.4,45
VOL005,Sapna Bhat,9324956459,sapna95@gmail.com,Nagpur West,21.17491,79.10952,medical,medical support mental health counselling trauma care psychological first aid,True,1,3,3.7,22
VOL006,Sachin Shah,9838908273,sachin81@gmail.com,Bhiwandi,19.30908,73.06505,"elderly support,medical",elderly support senior citizen care emotional support companionship home visit,True,0,3,4.1,40
VOL007,Amit Mehta,9709004943,amit50@gmail.com,Amravati City,20.95797,77.79616,"hygiene,food",food distribution hygiene sanitation safe food handling nutrition community,False,2,3,3.9,13
VOL008,Neha Nair,9902099969,neha84@gmail.com,Buldhana,20.52294,76.20907,"medical,disaster relief",logistics coordination supply management first aid general volunteer emergency,True,0,4,4.3,16
VOL009,Girish Shetty,9773715057,girish30@gmail.com,Jalgaon City,21.00166,75.54576,"elderly support,medical",medical elderly care nursing geriatric health senior citizen support,True,0,2,4.8,9
VOL010,Girish Yadav,9831980933,girish78@gmail.com,Bhandup,19.14749,72.94795,"medical,disaster relief",logistics coordination supply management first aid general volunteer emergency,True,2,2,4.5,7
VOL011,Sachin Bhat,9918150683,sachin32@gmail.com,Ratnagiri City,16.98061,73.29961,"elderly support,medical",elderly support senior citizen care emotional support companionship home visit,True,3,4,3.9,32
VOL012,Anita Naik,9669462919,anita10@gmail.com,Beed City,18.97691,75.76854,"disaster relief,medical",medical logistics medicine supply healthcare coordination camp management,True,0,2,4.3,49
VOL013,Manisha Wagh,9885879795,manisha72@gmail.com,Worli,18.99051,72.80658,"shelter,disaster relief",shelter construction rescue debris clearing evacuation infrastructure repair,True,0,4,4.9,5
VOL014,Arun Bhat,9327416584,arun79@gmail.com,Gadchiroli,20.19685,79.9835,"medical,disaster relief",rescue medical emergency first aid flood disaster comprehensive response team,False,0,4,4.8,27
VOL015,Sneha Shah,9463016614,sneha12@gmail.com,Nagpur East,21.14414,79.1265,"hygiene,medical",sanitation hygiene disease prevention medical waste clean water public health,True,1,2,3.9,4
VOL016,Sapna Chavan,9399012686,sapna95@gmail.com,Thane City,19.18873,72.99057,disaster relief,rescue coordination logistics disaster management emergency supply chain,True,3,3,3.6,15
VOL017,Bharat Salve,9201281557,bharat22@gmail.com,Gadchiroli,20.15884,80.03193,"hygiene,shelter",sanitation shelter hygiene camp setup toilet construction clean environment,True,0,3,4.7,12
VOL018,Nisha Mane,9464323393,nisha23@gmail.com,Latur Camp,18.40347,76.58223,disaster relief,rescue coordination logistics disaster management emergency supply chain,True,2,2,3.6,46
VOL019,Shilpa Salve,9205128697,shilpa16@gmail.com,Ghatkopar,19.08818,72.88651,"elderly support,medical",elderly support senior citizen care emotional support companionship home visit,True,0,2,4.2,35
VOL020,Sunita Desai,9519212169,sunita43@gmail.com,Yavatmal,20.40972,78.10038,"medical,disaster relief",rescue medical emergency first aid flood disaster comprehensive response team,True,2,2,3.7,0
VOL021,Umesh Kulkarni,9721890096,umesh79@gmail.com,Latur Camp,18.4206,76.57423,"food,education",teaching education mid day meal school feeding programme children nutrition,True,1,2,3.9,3
VOL022,Kavita Joshi,9299528037,kavita18@gmail.com,Amravati City,20.91083,77.78465,"elderly support,food",food distribution elderly care senior nutrition home delivery community support,False,1,2,4.9,5
VOL023,Arun Mehta,9726713347,arun82@gmail.com,Kalyan,19.23793,73.162,"hygiene,shelter",sanitation shelter hygiene camp setup toilet construction clean environment,True,1,4,3.6,42
VOL024,Akash Pillai,9907308348,akash19@gmail.com,Dombivli,19.19666,73.10267,"hygiene,food",food distribution hygiene sanitation safe food handling nutrition community,True,0,4,3.9,20
VOL025,Sunita Deshpande,9362298393,sunita57@gmail.com,Ahmednagar,19.12511,74.77927,medical,medical aid emergency healthcare first aid treatment patient care nursing,True,1,2,4.9,4
VOL026,Kiran Kamble,9421455482,kiran94@gmail.com,Osmanabad,18.20602,76.05411,"disaster relief,medical",medical logistics medicine supply healthcare coordination camp management,False,2,4,3.5,35
VOL027,Anita Shetty,9838194420,anita91@gmail.com,Malad,19.17307,72.87178,"food,education",teaching education mid day meal school feeding programme children nutrition,True,0,2,4.6,13
